timestamp,index,utilization_gpu,memory_used_mib,memory_total_mib
2026-07-15T07:59:35+00:00,0, 0, 0, 97871
2026-07-15T07:59:35+00:00,1, 0, 0, 97871
2026-07-15T07:59:40+00:00,0, 0, 0, 97871
2026-07-15T07:59:40+00:00,1, 0, 0, 97871
2026-07-15T07:59:45+00:00,0, 0, 367, 97871
2026-07-15T07:59:45+00:00,1, 0, 3, 97871
2026-07-15T07:59:50+00:00,0, 0, 367, 97871
2026-07-15T07:59:50+00:00,1, 0, 3, 97871
2026-07-15T07:59:55+00:00,0, 0, 367, 97871
2026-07-15T07:59:55+00:00,1, 0, 3, 97871
2026-07-15T08:00:00+00:00,0, 0, 367, 97871
2026-07-15T08:00:00+00:00,1, 0, 3, 97871
2026-07-15T08:00:06+00:00,0, 0, 367, 97871
2026-07-15T08:00:06+00:00,1, 0, 3, 97871
2026-07-15T08:00:11+00:00,0, 0, 367, 97871
2026-07-15T08:00:11+00:00,1, 0, 3, 97871
2026-07-15T08:00:16+00:00,0, 0, 367, 97871
2026-07-15T08:00:16+00:00,1, 0, 3, 97871
2026-07-15T08:00:21+00:00,0, 0, 367, 97871
2026-07-15T08:00:21+00:00,1, 0, 3, 97871
2026-07-15T08:00:26+00:00,0, 0, 367, 97871
2026-07-15T08:00:26+00:00,1, 0, 3, 97871
2026-07-15T08:00:31+00:00,0, 0, 367, 97871
2026-07-15T08:00:31+00:00,1, 0, 3, 97871
2026-07-15T08:00:36+00:00,0, 0, 367, 97871
2026-07-15T08:00:36+00:00,1, 0, 3, 97871
2026-07-15T08:00:41+00:00,0, 0, 367, 97871
2026-07-15T08:00:41+00:00,1, 0, 3, 97871
2026-07-15T08:00:46+00:00,0, 0, 367, 97871
2026-07-15T08:00:46+00:00,1, 0, 3, 97871
2026-07-15T08:00:52+00:00,0, 0, 367, 97871
2026-07-15T08:00:52+00:00,1, 0, 3, 97871
2026-07-15T08:00:57+00:00,0, 0, 367, 97871
2026-07-15T08:00:57+00:00,1, 0, 3, 97871
2026-07-15T08:01:02+00:00,0, 0, 367, 97871
2026-07-15T08:01:02+00:00,1, 0, 3, 97871
2026-07-15T08:01:07+00:00,0, 0, 367, 97871
2026-07-15T08:01:07+00:00,1, 0, 3, 97871
2026-07-15T08:01:12+00:00,0, 0, 367, 97871
2026-07-15T08:01:12+00:00,1, 0, 3, 97871
2026-07-15T08:01:17+00:00,0, 0, 367, 97871
2026-07-15T08:01:17+00:00,1, 0, 3, 97871
2026-07-15T08:01:22+00:00,0, 0, 367, 97871
2026-07-15T08:01:22+00:00,1, 0, 3, 97871
2026-07-15T08:01:27+00:00,0, 0, 367, 97871
2026-07-15T08:01:27+00:00,1, 0, 3, 97871
2026-07-15T08:01:32+00:00,0, 0, 367, 97871
2026-07-15T08:01:32+00:00,1, 0, 3, 97871
2026-07-15T08:01:37+00:00,0, 0, 367, 97871
2026-07-15T08:01:37+00:00,1, 0, 3, 97871
2026-07-15T08:01:42+00:00,0, 0, 367, 97871
2026-07-15T08:01:42+00:00,1, 0, 3, 97871
2026-07-15T08:01:47+00:00,0, 0, 367, 97871
2026-07-15T08:01:47+00:00,1, 0, 3, 97871
2026-07-15T08:01:53+00:00,0, 0, 367, 97871
2026-07-15T08:01:53+00:00,1, 0, 3, 97871
2026-07-15T08:01:58+00:00,0, 0, 367, 97871
2026-07-15T08:01:58+00:00,1, 0, 3, 97871
2026-07-15T08:02:03+00:00,0, 0, 367, 97871
2026-07-15T08:02:03+00:00,1, 0, 3, 97871
2026-07-15T08:02:08+00:00,0, 0, 367, 97871
2026-07-15T08:02:08+00:00,1, 0, 3, 97871
2026-07-15T08:02:13+00:00,0, 0, 367, 97871
2026-07-15T08:02:13+00:00,1, 0, 3, 97871
2026-07-15T08:02:18+00:00,0, 0, 367, 97871
2026-07-15T08:02:18+00:00,1, 0, 3, 97871
2026-07-15T08:02:23+00:00,0, 0, 367, 97871
2026-07-15T08:02:23+00:00,1, 0, 3, 97871
2026-07-15T08:02:28+00:00,0, 0, 367, 97871
2026-07-15T08:02:28+00:00,1, 0, 3, 97871
2026-07-15T08:02:33+00:00,0, 0, 367, 97871
2026-07-15T08:02:33+00:00,1, 0, 3, 97871
2026-07-15T08:02:38+00:00,0, 0, 367, 97871
2026-07-15T08:02:38+00:00,1, 0, 3, 97871
2026-07-15T08:02:43+00:00,0, 0, 367, 97871
2026-07-15T08:02:43+00:00,1, 0, 3, 97871
2026-07-15T08:02:48+00:00,0, 0, 367, 97871
